timestamp;latitude;longitude;speedMps;Calc_deg_servo_1;Calc_deg_servo_2;roll;pitch;yaw;zigzag_yaw;rpm_prop_1;rpm_prop_2;battery_1;battery_2;mode_auto;x_enu_flat;y_enu_flat;z_enu_flat;X_ecef;Y_ecef;Z_ecef;x_enu_ecef;y_enu_ecef;z_enu_ecef,
2.028.331;-728.718;112.796.117;0.55;35.62;35.08;6.02;0.68;26.03;0;2220;2220;11.99;10.89;1;-849.285.263.066.601;0.444779706541644;0;-245.140.054.404.023;583.275.794.743.013;-803.647.306.319.694;-850.282.459.195.716;0.442367845685088;-5,
2.028.431;-7.287.181;112.796.116;0.62;33.89;35.14;6.02;0.68;24.37;0;2220;2159;11.94;10.83;1;-860.314.941.779.227;0.333584779881543;0;-245.140.043.680.428;583.275.797.728.306;-803.647.416.018.567;-861.325.086.501.047;0.331775684224703;-5,
2.028.531;-7.287.181;112.796.116;0.59;35.8;35.91;6.02;0.68;22.7;0;2220;2220;11.85;10.89;1;-860.314.941.779.227;0.333584779881543;0;-245.140.043.680.428;583.275.797.728.306;-803.647.416.018.567;-861.325.086.501.047;0.331775684224703;-5,
2.028.631;-7.287.181;112.796.115;0.54;36.27;35.32;6;0.69;21.02;0;2220;2220;11.93;10.85;1;-871.344.620.491.854;0.333584779881543;0;-245.140.033.500.345;583.275.802.006.806;-803.647.416.018.567;-872.367.715.833.008;0.331775664953873;-5,
2.028.731;-7.287.181;112.796.115;0.6;35.8;35.44;5.97;0.69;19.33;0;2220;2159;11.99;10.89;1;-871.344.620.491.854;0.333584779881543;0;-245.140.033.500.345;583.275.802.006.806;-803.647.416.018.567;-872.367.715.833.008;0.331775664953873;-5,
2.028.831;-7.287.182;112.796.114;0.57;35.62;35.85;5.95;0.68;17.64;0;2159;2220;12.02;10.89;1;-88.237.429.920.448;0.222389853320203;0;-24.514.002.277.675;583.275.804.992.098;-80.364.752.571.744;-883.410.343.136.477;0.221183502956586;-6,
2.028.931;-7.287.182;112.796.114;0.64;35.62;35.44;5.93;0.69;15.93;0;2220;2220;11.94;10.93;1;-88.237.429.920.448;0.222389853320203;0;-24.514.002.277.675;583.275.804.992.098;-80.364.752.571.744;-883.410.343.136.477;0.221183502956586;-6,
2.029.031;-7.287.182;112.796.113;0.65;35.5;35.44;5.93;0.7;14.21;0;2220;2159;11.87;10.85;1;-893.403.977.917.106;0.222389853320203;0;-245.140.012.596.667;583.275.809.270.599;-80.364.752.571.744;-894.452.972.452.886;0.221183483181484;-6,
2.029.131;-7.287.182;112.796.113;0.53;35.68;35.38;5.96;0.69;12.49;0;2159;2220;11.94;10.83;1;-893.403.977.917.106;0.222389853320203;0;-245.140.012.596.667;583.275.809.270.599;-80.364.752.571.744;-894.452.972.452.886;0.221183483181484;-6,
2.029.231;-7.287.183;112.796.112;0.65;35.62;35.91;5.97;0.68;10.76;0;2220;2220;11.88;10.89;1;-904.433.656.786.474;0.111194926660101;0;-245.140.001.873.072;58.327.581.225.589;-803.647.635.416.313;-905.495.599.783.731;0.11059132065704;-6,
2.029.331;-7.287.183;112.796.111;0.61;35.68;35.5;5.99;0.69;9.01;0;2220;2159;11.94;10.89;1;-9.154.633.354.991;0.111194926660101;0;-245.139.991.692.989;583.275.816.534.391;-803.647.635.416.313;-916.538.229.077.745;0.110591300509454;-6,
2.029.431;-7.287.183;112.796.111;0.47;35.44;35.32;5.98;0.69;7.27;0;2159;2220;11.92;10.85;1;-9.154.633.354.991;0.111194926660101;0;-245.139.991.692.989;583.275.816.534.391;-803.647.635.416.313;-916.538.229.077.745;0.110591300509454;-6,
2.029.531;-7.287.183;112.796.111;0.62;35.62;35.32;5.94;0.68;5.52;0;2220;2220;12.07;10.89;1;-9.154.633.354.991;0.111194926660101;0;-245.139.991.692.989;583.275.816.534.391;-803.647.635.416.313;-916.538.229.077.745;0.110591300509454;-6,
