u,v,r,x_ENU,y_ENU,psi,delta,n_P,n_S,rpm
-0.621144624290537,0.0705179945138941,-0.265290046303381,-0.772984091872367,2.76480355656953,4.04078628421727,0.622209878335978,37,37,2220
-0.650227363135819,-0.257454147133652,-0.267035375555376,-0.772984091872367,2.76480355656953,4.01408274666176,0.620639082009184,35.9833333333333,37,2189.5
-0.477566551687264,-0.128046907726271,-0.267035375554765,-0.662557792536073,2.76480355808625,3.98737920910625,0.612261501599611,37,35.9833333333333,2189.5
-0.624799308202256,0.0204757180452543,-0.268780704807377,-0.662557793869516,2.8753957005644,3.96050113862553,0.625264204526969,37,37,2220
-0.625124548452312,0.00356783968195562,-0.270526034058749,-0.662557793869516,2.8753957005644,3.93344853521962,0.628405797180558,35.9833333333333,37,2189.5
-0.618846837299433,-0.325740467851158,-0.268780704807368,-0.552131497291419,2.98598784422703,3.90657046473891,0.62474060575137,37,35.9833333333333,2189.5
-0.461006673580924,-0.178713927169331,-0.270526034059368,-0.552131497291419,2.98598784422703,3.879517861333,0.625787803302567,37,37,2220
-0.767686113934186,-0.214625027572627,-0.270526034058757,-0.552131498537797,3.09657998687744,3.85246525792708,0.622209878335978,35.9833333333333,37,2189.5
-0.450631932129341,-0.203461752745698,-0.272271363311364,-0.552131498537797,3.09657998687744,3.82523812159597,0.620639082009184,37,37,2220
-0.579842789390045,-0.390973914490326,-0.274016692562732,-0.441705199072953,3.20717213036169,3.79783645233966,0.621599013097781,37,37,2220
-0.617381871614381,-0.0981481427530799,-0.277507351067351,-0.441705199072953,3.20717213036169,3.77008571723295,0.636696111127531,35.9833333333333,37,2189.5
-0.739394379421727,-0.297828516506918,-0.279252680319347,-0.44170520045622,3.31776427274852,3.74216044920104,0.624217006975772,37,37,2220
-0.425320013422369,-0.252128355245647,-0.279252680318712,-0.331278901462151,3.3177642736063,3.71423518116913,0.628405797180558,37,37,2220
-0.606951591522329,-0.149676981059324,-0.282743338823339,-0.331278901831332,3.42835641599653,3.68596084728682,0.620639082009184,35.9833333333333,37,2189.5
-0.794554757891714,-0.057926913469097,-0.284488668074683,-0.331278901831332,3.42835641599653,3.65751198047932,0.617497489355594,37,37,2220
-0.597425601712486,-0.184054577086819,-0.286233997327335,-0.220852601686287,3.42835641665938,3.62888858074661,0.620115483233585,37,37,2220
-0.39330754754391,-0.0630664096436287,-0.287979326578996,-0.110426301257182,3.53894855924738,3.5712927154308,0.623257075887175,37,37,2220
-0.782631106809438,-0.148866875351963,-0.289724655831322,-0.110426301257182,3.53894855924738,3.54232024984769,0.62474060575137,37,35.9833333333333,2189.5
-0.572179851404425,-0.251800826372743,-0.291469985082659,-3.11723258317187e-10,3.64954070203054,3.51317325133939,0.619068285682389,35.9833333333333,37,2189.5
-0.564504909121485,-0.268565904541728,-0.294960643587309,-3.11723258317187e-10,3.64954070203054,3.48367718698068,0.62168627956038,37,37,2220
-0.556338873667666,-0.285097343289553,-0.294960643587309,-3.11723258317187e-10,3.64954070203054,3.45418112262198,0.62168627956038,37,35.9833333333333,2189.5
-0.485906262167645,-0.0890004399220795,-0.294960643586639,0.110426299999113,3.76013284416449,3.42468505826327,0.645510023850103,35.9833333333333,37,2189.5
-0.483052086670109,-0.103376281055253,-0.296705972839305,0.110426299999113,3.76013284416449,3.39501446097937,0.615926693028799,37,37,2220
-0.744148565374781,-0.28445686228495,-0.298451302090622,0.220852601313753,3.76013284386457,3.36516933077027,0.617497489355594,37,35.9833333333333,2189.5
-0.476001862489574,-0.132091639653646,-0.300196631343301,0.220852601313753,3.76013284386457,3.33514966763596,0.619068285682389,35.9833333333333,37,2189.5
-0.689728532367221,-0.110362519222417,-0.300196631343297,0.331278902072497,3.87072498559998,3.30513000450166,0.627271333166762,37,37,2220
-0.467218264210273,-0.160415297823397,-0.300196631342614,0.331278902072497,3.87072498559998,3.27511034136736,0.619591884457987,37,35.9833333333333,2189.5
-0.681810716056241,-0.151787631858736,-0.303687289847293,0.441705203542646,3.87072498479579,3.24474161238266,0.619591884457987,35.9833333333333,37,2189.5
-0.456619515345693,-0.188479703109441,-0.303687289846598,0.441705203542646,3.87072498479579,3.21437288339796,0.619591884457987,37,37,2220
-0.67133996417815,-0.192893734123,-0.303687289847288,0.552131506524615,3.87072498368777,3.18400415441326,0.622209878335978,37,35.9833333333333,2189.5
-0.665136154661402,-0.213305489439436,-0.305432619099284,0.552131508046715,3.98131712593669,3.15346089250335,0.619068285682389,35.9833333333333,37,2189.5
-0.879042983849943,-0.237949313581317,-0.308923277602578,0.662557808452954,3.98131712469135,3.12256856474305,0.621162680784782,37,35.9833333333333,2189.5
-0.211223658146645,-0.0979605530396067,-0.310086830437705,0.772984108653858,3.98131712305065,3.02954251561176,0.619068285682389,37,35.9833333333333,2189.5
-0.874378624286369,-0.125999870779624,-0.310668606855272,0.883410410864315,3.9813171212608,2.99847565492626,0.626311402078165,37,35.9833333333333,2189.5
-0.652532186597594,-0.11482417484593,-0.31066860685457,0.883410410864315,3.9813171212608,2.96740879424076,0.619591884457987,35.9833333333333,37,2189.5
-0.648650670325678,-0.135037633764022,-0.310668606855272,0.993836711220728,3.98131711911582,2.93634193355526,0.620639082009184,37,35.9833333333333,2189.5
-0.429410712438729,-0.103488795112442,-0.312413936106562,0.993836711220728,3.98131711911582,2.90510053994456,0.62168627956038,37,35.9833333333333,2189.5
-0.638952844320477,-0.175277252764375,-0.312413936107267,1.10426301480611,3.98131711675856,2.87385914633386,0.612261501599611,35.9833333333333,37,2189.5
-0.422087981588713,-0.130173839087789,-0.314159265359263,1.10426301480611,3.98131711675856,2.84244321979797,0.618021088131192,37,35.9833333333333,2189.5
-0.626686268403846,-0.215051563074956,-0.314159265358553,1.21468931624506,3.98131711428687,2.81102729326207,0.623169809424575,37,37,2220
-0.413081399564014,-0.156420091436747,-0.314159265359268,1.21468931624506,3.98131711428687,2.77961136672617,0.622209878335978,35.9833333333333,37,2189.5
-0.611946443631574,-0.253977161644807,-0.314159265358549,1.32511561704938,3.98131711139693,2.74819544019027,0.617497489355594,37,35.9833333333333,2189.5
-0.402444579674354,-0.182049027012868,-0.314159265359263,1.32511561704938,3.98131711139693,2.71677951365437,0.62168627956038,37,37,2220
-0.594842485569078,-0.291796613497158,-0.312413936107272,1.43554191864383,3.98131710842098,2.68553812004367,0.616450291804397,35.9833333333333,37,2189.5
-0.493858655852935,-0.0113843413131886,-0.312413936106557,1.43554191864383,3.98131710842098,2.65429672643298,0.616973890579996,37,37,2220
-0.685058702154102,-0.136381487386798,-0.314159265359263,1.54596821924282,3.98131710513567,2.62288079989708,0.616973890579995,37,37,2220
-0.680409265243093,-0.157951160329409,-0.315904594610545,1.54596821600357,3.8707249627952,2.59129034043598,0.625787803302567,35.9833333333333,37,2189.5
-0.675143432442379,-0.179127560442787,-0.312413936107267,1.65639451732424,3.87072495929209,2.56004894682528,0.620639082009184,37,37,2220
-0.669183759534497,-0.200245939332528,-0.314159265359268,1.76682081929816,3.87072495543937,2.52863302028938,0.61854468690679,37,37,2220
-0.529767889743874,-0.397905559121289,-0.312413936106557,1.76682081929816,3.87072495543937,2.49739162667869,0.618021088131192,35.9833333333333,37,2189.5
-0.483014027555814,-0.103553977802965,-0.312413936107267,1.87724712077434,3.87072495143199,2.46615023306799,0.622209878335978,37,37,2220
-0.479585050150196,-0.118423620278744,-0.308923277602578,1.87724712077434,3.87072495143199,2.43525790530769,0.622209878335978,37,37,2220
-0.475698426298862,-0.133180258992781,-0.308923277603276,1.87724711653962,3.76013280901312,2.40436557754739,0.627358599629362,35.9833333333333,37,2189.5
-0.471332058523512,-0.147892073815636,-0.310668606855276,1.98767341659105,3.7601328046735,2.37329871686189,0.61854468690679,37,37,2220
-0.625081604954355,-0.00815009359493368,-0.308923277602573,1.98767341659105,3.7601328046735,2.34240638910159,0.615926693028799,37,35.9833333333333,2189.5
-0.610395620457741,-0.339591690156631,-0.307177948351284,2.09809971822275,3.76013280016184,2.31168859426649,0.617497489355594,35.9833333333333,37,2189.5
-0.455689386902626,-0.190717478187839,-0.307177948350582,2.09809971306101,3.64954065791184,2.28097079943139,0.607636379081826,37,37,2220
-0.449688313889969,-0.204466119868118,-0.303687289847288,2.20852601326795,3.64954065306795,2.25060207044669,0.621162680784782,37,35.9833333333333,2189.5
-0.619429096475735,-0.0842676269707348,-0.303687289847288,2.20852601326795,3.64954065306795,2.22023334146199,0.599346065134853,35.9833333333333,37,2189.5
-0.5646753674537,-0.411153329729864,-0.301941960594606,2.20852601326795,3.64954065306795,2.19003914540248,0.620639082009184,37,37,2220
-0.429306286004117,-0.244381029395484,-0.301941960595293,2.31895231025425,3.53894850546216,2.15984494934298,0.622209878335978,37,35.9833333333333,2189.5
-0.609315632821885,-0.13974225259151,-0.298451302090622,2.42937860982657,3.53894850020001,2.12999981913388,0.617497489355594,35.9833333333333,37,2189.5
-0.716461163921712,-0.348362164519305,-0.29670597283931,2.42937860982657,3.53894850020001,2.10032922184998,0.620639082009184,37,37,2220
-0.599986169583851,-0.175527864672006,-0.294960643587309,2.42937860439105,3.42835635800024,2.07083315749127,0.620639082009184,37,35.9833333333333,2189.5
-0.494420316851026,0.00379116617800765,-0.293215314334647,2.53980490547518,3.42835635243426,2.04151162605777,0.619068285682389,35.9833333333333,37,2189.5
